α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
          1.8,    0.02199816,          2.2,    0.01439796,            3,    0.01210998,          2.2,    0.01013349,          2.2,     0.0091754,          2.4,    0.00861462,          1.6,   0.007759337,            2,   0.007708275,          1.8,   0.007451523,
            2,    0.02240206,          2.4,    0.01455601,          3.2,    0.01225547,          2.4,    0.01026067,          2.4,    0.00926128,          2.6,   0.008672264,          1.8,   0.007842979,          2.2,   0.007764788,            2,   0.007503304,
          2.2,    0.02270476,          2.6,    0.01470281,          3.4,    0.01237751,          2.6,    0.01034757,          2.6,   0.009359495,          2.8,   0.008742443,            2,   0.007943586,          2.4,   0.007832109,          2.2,   0.007565436,
          2.4,    0.02295522,          2.8,    0.01489726,          3.6,    0.01249565,          2.8,    0.01044063,          2.8,   0.009478671,            3,   0.008824551,          2.2,   0.007993673,          2.6,   0.007913047,          2.4,   0.007639209,
          2.6,     0.0234358,            3,    0.01509213,          3.8,    0.01260719,            3,    0.01054105,            3,   0.009554962,          3.2,   0.008929602,          2.4,    0.00805492,          2.8,   0.008018042,          2.6,   0.007732048,
          2.8,     0.0236798,          3.2,    0.01525518,            4,     0.0127415,          3.2,    0.01065322,          3.2,   0.009631547,          3.4,   0.009028439,          2.6,   0.008127161,            3,   0.008089815,          2.8,   0.007823313,
            3,    0.02412841,          3.4,    0.01540236,          4.2,    0.01285395,          3.4,    0.01077857,          3.4,    0.00972229,          3.6,   0.009096583,          2.8,   0.008215876,          3.2,   0.008152984,            3,    0.00787726,
          3.2,    0.02452862,          3.6,    0.01561244,          4.4,    0.01296041,          3.6,    0.01086033,          3.6,    0.00983815,          3.8,   0.009186207,            3,   0.008334855,          3.4,   0.008237562,          3.2,   0.007950847,
          3.4,    0.02472315,          3.8,    0.01580453,          4.6,    0.01307652,          3.8,    0.01095385,          3.8,   0.009933593,            4,   0.009306367,          3.2,   0.008387272,          3.6,   0.008352396,          3.4,   0.008050614,
          3.6,    0.02531919,            4,    0.01594448,          4.8,    0.01320763,            4,    0.01106703,            4,    0.01001605,          4.2,    0.00941991,          3.4,   0.008459413,          3.8,   0.008451398,          3.6,   0.008172736,
