α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
          5.4,     0.9338108,          5.8,      1.012669,          6.6,       1.09684,          5.8,      1.023272,          5.8,       1.02497,            6,      1.045135,          5.2,     0.9667303,          5.6,      1.007502,          5.4,     0.9878217,
          5.6,     0.9588755,            6,      1.032591,          6.8,       1.11365,            6,      1.043318,            6,      1.044413,          6.2,      1.062915,          5.4,     0.9869571,          5.8,       1.02667,          5.6,      1.007604,
          5.8,     0.9706315,          6.2,      1.051804,            7,      1.128365,          6.2,      1.062517,          6.2,      1.063221,          6.4,      1.079563,          5.6,      1.007008,            6,      1.044892,          5.8,      1.026703,
            6,     0.9939217,          6.4,      1.071173,          7.2,       1.14132,          6.4,      1.080543,          6.4,      1.080397,          6.6,      1.095742,          5.8,      1.026559,          6.2,      1.062222,            6,       1.04475,
          6.2,      1.009001,          6.6,      1.089651,          7.6,      1.165026,          6.6,      1.097431,          6.6,      1.096209,          6.8,      1.111703,            6,      1.044967,          6.4,      1.079246,          6.2,      1.062111,
          6.4,      1.029467,          6.8,      1.107644,          7.8,      1.176006,          6.8,      1.112598,          6.8,      1.111529,            7,      1.126946,          6.2,      1.062412,          6.6,      1.096193,          6.4,      1.079348,
          6.6,      1.047261,            7,      1.124636,            8,      1.186597,            7,      1.126752,            7,      1.126559,          7.2,      1.141275,          6.4,       1.07922,          6.8,      1.112242,          6.6,      1.096408,
          6.8,      1.065189,          7.2,      1.140216,          8.2,      1.197131,          7.2,      1.140527,          7.2,      1.140798,          7.6,      1.170763,          6.6,      1.095953,            7,      1.127431,          6.8,      1.112349,
            7,      1.082276,          7.4,      1.153001,     8.400001,      1.207369,          7.4,      1.153569,          7.4,      1.154229,          7.8,       1.18532,          6.8,      1.112111,          7.2,      1.142518,            7,      1.127468,
          7.2,      1.100745,          7.6,      1.163376,          8.6,      1.216877,          7.6,      1.166016,          7.6,      1.167927,            8,      1.199372,            7,      1.127263,          7.4,      1.158132,          7.2,      1.142862,
          7.4,      1.114424,          7.8,      1.172323,          8.8,      1.225114,          7.8,      1.178322,          7.8,      1.182107,          8.2,      1.213125,          7.2,      1.142188,          7.6,      1.173574,          7.4,      1.158714,
          7.6,       1.12962,            8,      1.180624,            9,      1.232683,            8,      1.191061,            8,      1.195939,     8.400001,      1.226764,          7.4,      1.157457,          7.8,      1.189083,          7.6,      1.174508,
          7.8,      1.143182,          8.2,      1.188269,          9.2,      1.238853,          8.2,      1.203658,          8.2,      1.208818,          8.6,      1.240299,          7.6,      1.172721,            8,       1.20458,          7.8,      1.190565,
            8,       1.15434,     8.400001,      1.195489,     9.400001,      1.244059,     8.400001,      1.215109,     8.400001,      1.221137,          8.8,      1.253356,          7.8,      1.187713,          8.2,      1.219722,            8,      1.206318,
          8.2,      1.162224,          8.6,      1.202312,          9.6,      1.249192,          8.6,       1.22565,          8.6,      1.233228,            9,      1.265691,            8,      1.202749,     8.400001,      1.234598,          8.2,      1.221656,
     8.400001,      1.165667,          8.8,      1.208142,          9.8,      1.254317,          8.8,      1.235731,          8.8,      1.245002,          9.2,      1.277388,          8.2,      1.217627,          8.6,      1.249213,     8.400001,      1.236835,
          8.6,      1.165513,            9,      1.212944,           10,      1.258791,            9,       1.24576,            9,      1.256431,     9.400001,       1.28755,     8.400001,      1.232187,          8.8,      1.263121,          8.6,      1.251731,
          8.8,      1.162989,          9.2,      1.215725,         10.2,       1.26221,          9.2,      1.254852,          9.2,      1.267245,          9.6,      1.296018,          8.6,      1.246371,            9,      1.276967,          8.8,      1.266242,
            9,      1.158986,     9.400001,      1.218117,         10.4,      1.264976,     9.400001,      1.262119,     9.400001,      1.275671,          9.8,       1.30337,          8.8,      1.260304,          9.2,      1.289477,            9,      1.279953,
          9.2,       1.15536,          9.6,      1.220381,         10.6,      1.267435,          9.6,      1.268263,          9.6,      1.283296,           10,      1.309605,            9,      1.273341,     9.400001,      1.301402,          9.2,      1.293053,
     9.400001,      1.152043,          9.8,      1.222585,         10.8,      1.269571,          9.8,      1.274043,          9.8,      1.289844,         10.2,      1.314161,          9.2,         1.286,          9.6,      1.311989,     9.400001,      1.305485,
          9.6,      1.149041,           10,      1.225043,           11,      1.270882,           10,      1.279021,           10,      1.295004,         10.4,      1.319147,     9.400001,      1.297266,          9.8,       1.32045,          9.6,      1.316744,
          9.8,      1.146277,         10.2,      1.227076,         11.2,      1.272609,         10.2,      1.282972,         10.2,       1.29989,         10.6,      1.323377,          9.6,      1.306736,           10,      1.327804,          9.8,      1.325506,
           10,      1.144717,         10.4,      1.228595,         11.4,      1.274217,         10.4,      1.286472,         10.4,      1.304219,         10.8,      1.327038,          9.8,      1.314845,         10.2,      1.334039,           10,      1.332335,
         10.2,      1.143447,         10.6,      1.229867,         11.6,      1.275824,         10.6,      1.289652,         10.6,      1.308015,           11,      1.330252,           10,       1.32185,         10.4,      1.338905,         10.2,      1.337866,
         10.4,      1.143358,         10.8,      1.231983,         11.8,      1.277383,         10.8,      1.292463,         10.8,      1.311388,         11.2,      1.333081,         10.2,      1.327988,         10.6,      1.342053,         10.4,      1.343678,
         10.6,       1.14423,           11,      1.233779,           12,      1.278813,           11,      1.294966,           11,      1.314357,         11.4,      1.335552,         10.4,      1.333392,         10.8,      1.346463,         10.6,      1.348684,
         10.8,      1.146575,         11.2,       1.23657,         12.2,      1.279955,         11.2,       1.29707,         11.2,       1.31682,         11.6,      1.337676,         10.6,      1.338084,           11,      1.350254,         10.8,      1.353048,
           11,      1.150025,         11.4,      1.238323,         12.4,      1.280815,         11.4,      1.298576,         11.4,      1.318638,         11.8,      1.339474,         10.8,      1.341989,         11.2,      1.353499,           11,       1.35686,
         11.2,      1.154558,         11.6,      1.241048,         12.6,      1.281788,         11.6,      1.299497,         11.6,      1.319637,           12,      1.340919,           11,       1.34489,         11.4,      1.356268,         11.2,       1.36018,
         11.4,       1.16018,         11.8,      1.242811,         12.8,      1.282167,         11.8,      1.301093,         11.8,      1.320846,         12.2,       1.34201,         11.2,      1.346572,         11.6,      1.358592,         11.4,      1.363059,
         11.6,      1.166622,           12,      1.244293,           13,      1.281581,           12,      1.302447,           12,      1.322245,         12.4,      1.342714,         11.4,      1.348758,         11.8,      1.360464,         11.6,      1.365488,
         11.8,       1.17505,         12.2,      1.246709,         13.2,      1.279849,         12.2,      1.303635,         12.2,      1.323326,         12.6,      1.343047,         11.6,      1.351152,           12,      1.361957,         11.8,      1.367519,
           12,      1.184023,         12.4,      1.248407,         13.4,      1.276848,         12.4,      1.304593,         12.4,      1.324096,         12.8,      1.342903,         11.8,      1.353073,         12.2,      1.363034,           12,      1.369113,
         12.2,      1.188877,         12.6,      1.249249,         13.6,      1.272404,         12.6,      1.305194,         12.6,      1.324503,           13,        1.3423,           12,      1.354581,         12.4,      1.363718,         12.2,      1.370284,
